Q,A
The projection information may be information displayed through the display screen.,프로젝션 정보는 디스플레이 스크린을 통해 디스플레이된 정보일 수 있다.
"When the device detects a touch and hold operation, the pending state of the application program is triggered.","디바이스가 터치 앤 홀드 동작을 검출할 때, 애플리케이션 프로그램의 보류 상태가 트리거된다."
"To this end, the gesture recognition apparatus 100 includes a memory, a sensor value processing unit, a control unit, a calculation unit, and a gesture detector.","이를 위해, 제스쳐 인식 장치(100)는 메모리, 센서값 처리부, 제어부, 계산부 및 제스쳐 감지기를 포함한다."
"That is, for each user's face, the AR client terminal knows the corresponding user identification information and seat position.","즉, 각 사용자 안면에 대해, AR 클라이언트 단말기는 대응하는 사용자 식별정보 및 좌석 포지션을 알고 있다."
"In this way, if there is a large area that is homogeneously tagged, the repository can be saved in storing the tag values.","이러한 방식으로, 동질로 태깅된 큰 영역이 존재하면, 저장소는 태그 값을 저장하는데 절약될 수 있다."
The function of gestures for each input member is not affected by gestures generated by other input members.,입력 부재별 제스쳐의 기능이 다른 입력 부재로부터 발생한 제스쳐에 영향을 받지 않는다.
"A program may correspond to a file in the file system, but it may not.",프로그램은 파일 시스템내의 파일에 해당할 수 있지만 그렇지 않을 수도 있다.
The voice input module 1200 may receive various voices including a user voice.,음성 입력 모듈(1200)은 사용자 음성을 비롯한 다양한 음성을 수신할 수 있다.
"The first majority can be, for example, one finger placed on a finger-based control bar.",제1의 다수는 예를 들면 손가락 기반 컨트롤 바 상에 놓인 1개의 손가락 일 수 있다.
"In one embodiment, battery 45 comprises a lithium-ion or other known/available high capacity battery.","한 실시예에서, 배터리(45)는 리튬-이온 또는 기타의 공지된/이용가능한 고용량 배터리를 포함한다."
The first predetermined operation may be pressing a combination of a home key and a volume key to generate an electrical signal.,제1 미리 결정된 동작은 전기적 신호를 생성하도록 홈 키와 볼륨 키의 조합을 누르는 것일 수 있다.
An increase in curvature along width dimension 172 results in an increase in stiffness in length dimension 171.,폭 치수(172)를 따르는 곡률의 증가는 길이 치수(171)에서 강성의 증가를 야기한다.
"In the above two detailed examples, the terminal may perform the deletion (or partial deletion) operation at various deletion times.",상기 두 상세예에서 터미널은 다양한 삭제 시점에 삭제(또는 부분삭제) 작업을 실시할 수 있다.
"According to another embodiment, this value is updated at the initially displayed position in response to the swipe gesture.","다른 실시예에 따르면, 이 값은 스와이프 제스처에 응답하여 처음에 디스플레이된 위치에서 업데이트된다."
Whether to activate the second sensor when a body part is detected may be determined under the control of control unit 180.,"어느 신체부위가 감지될 때 제2 센서를 활성화 시킬지 여부는, 제어부(180)의 제어하에 결정될 수 있다."
It may be inefficient to have various types of input devices in the portable terminal.,휴대 단말에 여러 종류의 입력 장치를 구비하는 것이 비효율적일 수 있다.
"The movement amounts Δx and Δy can be expressed by the following equations, assuming r is the distance from the virtual camera to the touched 3D point.","이동량 Δx, Δy는, 가상 카메라로부터 터치한 3차원점까지의 거리를 r이라 하면 이하의 식으로 나타낼 수 있다."
Home speaker 130 is a device that is the basis of a voice recognition assistant service.,홈 스피커(130)는 음성 인식 비서 서비스의 기반이 되는 장치이다.
"To distinguish this from the aforementioned first avatar, it is defined as a second avatar in this specification.",이를 전술한 제1아바타와 구별하기 위해 당해 명세서에서는 제2아바타로 정의한다.
"In certain embodiments, the SRO is also a route adjusted to eliminate route duplication.","특정 구현예에서, SRO는 경로 중복을 제거하도록 조절된 경로이기도 하다."
The device can use a radar signal to unlock the device's gesture or activate a gesture password.,디바이스는 레이더 신호를 사용하여 디바이스의 제스처 잠금 해제 또는 제스처 암호를 활성화할 수 있다.
The computer subsystem(s) can also be configured to train neural networks and forward physical models.,컴퓨터 서브 시스템(들)은 또한 신경망 및 순방향 물리적 모델을 훈련시키도록 구성될 수 있다.
This effectively highlights the difference in the reference values ​​of the DIP Hall and SPIKE peak nodes versus the remaining nodes.,이것은 DIP 홀 및 SPIKE 피크 노드들 대 나머지 노드들의 기준 값들에 있어서의 차이를 효과적으로 강조한다.
The mobile device 200 may make a call to the display device 100.,모바일 디바이스(200)는 디스플레이 디바이스(100)에 대하여 전화를 발신할 수 있다.
The treatment reports 600 and 700 may inform in detail treatment information obtained during a treatment procedure.,"치료 리포트(600, 700)는 치료 절차 중에 획득된 치료 정보를 상세히 알릴 수 있다."
The display device may control the object in response to a component of the direction of the one-way control included in the first touch input.,디스플레이 디바이스는 제1 터치 인풋에 포함된 원-웨이 컨트롤의 방향의 성분에 대응하여 오브젝트를 제어할 수 있다.
"In this case, the electronic device 100 may be implemented as a PC, a laptop, a smart phone, or a tablet.","이 경우 전자 장치(100)는 PC, 랩탑, 스마트 폰, 태블릿 등으로 구현될 수 있다."
Hand information estimating unit 103 according to an embodiment of this invention may further include hand posture estimating unit 1034.,본 발명의 일 실시예에 따른 손 정보 추정부(103)는 손 자세 추정부(1034)를 더 포함할 수 있다.
The second obtaining means 26 is configured to obtain a function icon of any one application function.,제2 획득수단(26)은 임의의 한 애플리케이션 기능의 기능 아이콘을 획득하도록 구성된다.
The control device 200 may be used in combination with various direction detection methods for more precise direction detection.,제어 디바이스(200)는 더 정밀한 방향 탐지를 위해 여러 가지 방향 탐지 방식을 결합하여 사용할 수도 있다.
The above functions are common to mobile terminals using a touch screen interface.,위의 기능은 터치스크린 인터페이스를 사용하는 모바일 단말기에 공통적이다.
"In some implementations, one or more displays 112 are configured to present a user interface.","일부 구현예들에서, 하나 이상의 디스플레이들(112)은 사용자 인터페이스를 제시하도록 구성된다."
"As discussed herein, instrument 124 is tracked and may track the position of guide 128.","본 명세서에서 논의된 바와 같이, 기구(124)는 추적되고 가이드(128)의 위치를 추적할 수 있다."
Apparatus 500 is configured to perform configurations as described above.,장치(500)는 전술한 바와 같은 실시형태들을 수행하도록 구성된다.
"According to various embodiments, the wireless communication circuit may support a Bluetooth protocol.","다양한 실시예에 따르면, 상기 무선 통신 회로는, 블루투스(Bluetooth) 프로토콜을 지원할 수 있다."
"In Step S14, at least one application function that is operated after the user registers with the application is acquired.","단계S14에 있어서, 사용자가 애플리케이션에 등록한 후에 작동되는 적어도 하나의 애플리케이션 기능을 획득한다."
"In some examples, one or more system configurations of the user device include dictation configurations.","일부 예들에서, 사용자 디바이스의 하나 이상의 시스템 구성은 구술 구성들을 포함한다."
Unused bits from the macro component may be assigned to different designs.,매크로 컴포넌트로부터 사용되지 않은 비트는 다른 디자인에 할당될 수 있다.
The displayed user interface window may be provided by a third application.,표시되는 사용자 인터페이스 창은 제3 어플리케이션이 제공할 수 있다.
"After being inserted into the groove, the protrusion may come out of the groove due to an external force of more than a certain size.",돌기는 홈에 끼워진 후 일정 크기 이상의 외력으로 인하여 홈에서 빠져나올 수 있다.
One end of the resistors having a resistance value of 2R may be respectively connected to the node inputs.,2R의 저항값을 가지는 저항들의 일단은 마디 입력들과 각기 연결될 수 있다.
"The sense amplifier compares the signal from the column to a reference voltage and, in response, outputs a high or low voltage value.","감지 증폭기는 열로부터의 신호를 기준 전압과 비교하며, 그에 대한 응답으로, 높은 또는 낮은 전압 값을 출력한다."
A user contributing to the audio timeline may be compensated to some extent for each viewing of the timeline.,오디오 타임 라인에 기여하는 사용자가 타임 라인의 각각의 관람에 대해 어느 정도는 보상될 수 있다.
"Processor 200 may, for example, combine location information with pressure level information.","프로세서(200)는, 예를 들어, 위치 정보를 압력 크기 정보와 조합할 수 있다."
The synthetic piezoelectric material may be optimized to achieve specific electromechanical properties tailored for each application.,각 응용에 대하여 맞추어진 특정한 전기기계적 특성들을 달성하기 위해 합성 압전 재료가 최적화될 수 있다.
"In addition, storage device 520 may further store a GAN that processes a spectrogram for voice.",또 저장 장치(520)는 음성에 대한 스펙트로그램을 처리하는 GAN을 더 저장할 수 있다.
"In particular, when sufficiently good channel information is supported, the LDPC code can have more powerful error correction performance.","특히, 충분히 좋은 채널 정보가 지원될 때, LDPC 부호는 더욱 강력한 오류정정 성능을 가질 수 있다."
"However, robot navigation is not satisfactory compared to vehicle navigation.",그런데 로봇 내비게이션은 차량용 내비게이션과 비교하여 만족스럽지 못하다.
Haptic effects can be delivered at the point(s) where users hold their respective devices.,사용자들이 그들의 각각의 장치들을 잡는 지점(들)에서 햅틱 효과들이 전달될 수 있다.
The user can directly set these indication characteristics by pressing and holding the icon on the status bar with one finger.,사용자는 상태 표시 바의 아이콘을 한 손가락으로 또는 길게 눌러 직접 이들 지시 특성을 설정할 수 있다.
The distance between the user and an object in the environment can affect the haptic effects experienced by the user.,사용자와 환경 내의 객체 사이의 거리는 사용자가 경험한 햅틱 효과들에 영향을 미칠 수 있다.
"In some configurations, the user input may be a contact on the touch screen 504, such as a swipe or tapping.","일부 실시예들에서, 사용자 입력은 스와이프 또는 탭핑과 같은, 터치 스크린(504) 상에의 접촉일 수 있다."
It is noted that other known methods can also be used to generate collimated beamlets.,시준된(collimated) 빔렛을 생성하기 위해 다른 공지된 방법이 또한 사용될 수 있다는 점이 주목된다.
"According to one embodiment, at least a portion of the surgical instrument 70 is designed to operate on the anatomy of the patient 29.","일 실시예에 따르면, 상기 수술 기구(70)의 적어도 일부는 환자(29)의 해부학적 구조에 작동되도록 설계된다."
"The electronic device DD may generate biometric information (e.g., heart rate information) of a user based on the transmitted light.","전자장치(DD)는 투과광을 기초로, 사용자의 생체 정보(예컨대, 심박 정보)를 생성할 수 있다."
"When the operation mark 34a is selected and the stepwise operation instruction is executed, the step is moved in the lower step direction.",조작 마크(34a)가 선택되고 단계적 조작 명령이 실행되면 낮은 단계 방향으로 단계가 이동된다.
"Accordingly, not only mass production is easy, but also stable quality can be realized and low-cost manufacturing is possible.","이에 따라, 대량 생산이 용이할 뿐만 아니라 안정된 품질을 구현할 수 있고 저비용 제조가 가능하다."
"The grouped parameters may be stored in multiple regions, and each region corresponds to a group.","그룹화된 파라미터들은 복수의 영역에 저장될 수 있고, 각각의 영역은 그룹에 대응한다."
"In this invention, for a natural conversation between a robot and a person, an action for interaction may be performed by recognizing an interaction action.",본 발명은 로봇과 사람의 자연스러운 대화를 위하여 교류 행위를 인식하여 상호 작용을 위한 행위를 수행할 수 있다.
User device 24 downloads an updated version of the data item accompanied by a version identifier of the data item.,사용자 장치(24)는 데이터 아이템의 버전 식별자가 수반되는 그 데이터 아이템의 업데이트된 버전을 다운로드한다.
"In contrast to the hash table, key-value pairs are distributed and stored by multiple participating nodes.","해시 테이블과는 대조적으로, 키-값 쌍들은 다수의 참여 노드에 의해 분산되고 저장된다."
"The following relates generally to wireless communication, and more specifically to polar codes for uplink control information.","다음은 일반적으로 무선 통신에 관한 것이고, 보다 구체적으로는 업링크 제어 정보에 대한 폴라 코드들에 관한 것이다."
The user-triggered intention determining device may receive a user input indicating user preference from the user.,사용자 트리거 의도 결정 장치는 사용자로부터 사용자의 선호를 지시하는 사용자 입력을 수신할 수 있다.
The editing guide may include information leading to change a part of the selected task.,편집 가이드는 선택된 태스크의 일부를 변경하도록 유도하는 정보를 포함할 수 있다.
The pressure sensor 28 is further configured to transmit sensor signals to the processor 12.,압력 센서(28)는 센서 신호들을 프로세서(12)에 송신하도록 추가로 구성된다.
The light-emitting unit 200 provides light that is not visible to an observer to the first substrate 110.,상기 발광부(200)는 관찰자에게 시인되지 않는 광을 상기 제1 기판(110)에 제공한다.
The directions may have a square shape such as a clockwise 220 or counterclockwise 225 direction.,방향들은 시계(220) 또는 반시계(225) 방향과 같은 정방형 형상이 될 수 있다.
Block 3008 configures the computer to report the portion if it is identified as corresponding.,"블록(3008)은 부분이 대응하는 것으로 식별되면, 그 부분을 보고하도록 컴퓨터를 구성한다."
It may be beneficial to display such information on display 450.,그것은 디스플레이(450) 상에 그러한 정보를 디스플레이하는 데 유익할 수 있다.
The method further includes identifying an image shortcut setting associated with one or more features.,상기 방법은 하나 이상의 피처들과 연관된 이미지 바로가기 설정을 식별하는 단계를 더 포함한다.
"Alternatively, the first conductor may be provided only in a partial area of ​​the pillar to implement a face portion having a desired shape and area.",혹은 상기 기둥의 일부 영역에만 제1 도전체를 구비하여 원하는 모양과 면적의 대면부를 구현할 수 있다.
The category panel 250 moved to an area where the user's touch is easy may form a user information window.,사용자의 터치가 용이한 영역으로 이동된 카테고리 패널(250)은 사용자 정보창을 형성할 수 있다.
"The resistance loss value of the battery may be current dependent, and the capacity loss value of the battery may be current independent.",상기 배터리의 저항 손실값은 전류 의존적이고 상기 배터리의 용량 손실값은 전류 독립적일 수 있다.
The indicator panel 750 may have a ring shape that is elongated in one direction.,"인디케이터 패널(750)은, 일 방향으로 길쭉한 링 형상일 수 있다."
"As in a device including a key, the user can use the phone, so that convenience can be provided to the user.","키를 포함하는 단말에서와 같이 사용자가 폰을 사용할 수 있어, 사용자에게 편의성이 제공될 수 있다."
"Moreover, the collected metadata may correspond to one-way communication networks such as broadcast television and radio.","더욱이, 수집된 메타데이터는 방송 텔레비전 및 라디오와 같은 단방향 통신 네트워크들에 대응할 수 있다."
"The user may select an object, open a menu associated with the object, move the object, or the like.","사용자는 객체를 선택하거나, 객체와 연관된 메뉴를 개방하거나, 객체를 움직이는 것 등을 할 수 있다."
"To solve this problem, the vibration motor driving unit 1 may include a control signal selection unit 11.",이러한 문제점을 해결하기 위하여 진동모터 구동부(1)는 제어신호 선택부(11)를 포함할 수 있다.
The system can render digital components headless without a user interface.,시스템은 사용자 인터페이스없이 디지털 컴포넌트를 헤드리스(headless) 렌더링할 수 있다.
"Here, the output result value indicates the result of comparing the sizes of path values ​​leading to the current state.","여기서, 출력 결과 값은 현재 상태에 이르는 경로 값들의 크기를 비교한 결과를 지시한다."
"Monitoring unit 160 checks whether the application and the preferred function are deleted, changed, or an error has occurred.","모니터링부(160)는 상기 어플리케이션 및 상기 선호 기능의 삭제, 변경, 오류가 발생했는지 유효성을 확인한다."
"During the first period or the second period, the first touch unit and the second touch unit may be scanned two or more times.",상기 제1 구간 또는 상기 제2 구간 동안에 상기 제1 터치부와 상기 제2 터치부는 2회 이상 스캐닝될 수 있다.
This latter consideration is particularly important in battery operated devices.,이러한 후자의 고려사항은 배터리 작동형 디바이스들에서 특히 중요하다.
The user drags a preset pattern and connects a plurality of displayed buttons.,사용자는 미리 설정된 패턴을 드래그(drag)하며 디스플레이된 복수의 버튼을 연결한다.
The dispensing device 10 may further include other types of product dispensers according to some embodiments.,분배 장치(10)는 일부 실시예에 따라 다른 유형의 제품 분배기를 더 포함할 수 있다.
Edge touch display 100 may be implemented as a flexible display.,에지 터치 디스플레이(100)는 플렉서블 디스플레이로 구현될 수도 있다.
"If you try to remove it with all your strength, the USB port or USB lock mechanism will be damaged.","만약 있는 힘을 다해 무리하게 떼어내려고 하면, USB 포트나 USB 로크 기구가 파손되어버린다."
"Examples include forms such as accessory type, fabric/clothing type, body attachment type and bio-implant type.","액세서리형, 직물/의류형, 신체 부착형 및 생체 이식형과 같은 형태를 들 수 있다."
"In addition, normally, the holes of the USB device (male terminal) are provided in two places on the same plane in accordance with the cutout.","또 통상 USB 디바이스(수형 단자)의 구멍은 절결에 맞추어, 동일한 평면 상에 2개소 설치되어 있다."
"In other words, on a rooted Linux® CA may probably bypass the authentication program in some attack cases.","다시 말해서, 루트된 Linux®에서 CA는 일부 공격 사례에서 인증 프로그램을 아마도 바이패싱할 수 있다."
The reference read voltage Vref may be provided to distinguish the quantization period.,기준 읽기 전압(Vref)은 양자화 구간을 구분하기 위해 제공될 수 있다.
The communication device 11 can obtain an output bit segment in each code block.,통신 장치(11)는 각각의 코드 블록 내의 출력 비트 세그먼트를 획득할 수 있다.
"Of course, when the fan-shaped part is not part of a complete circle, it may be defined based on one arc.","물론, 부채꼴 형상부가 완전 원형의 일부분이 아닌 경우에는 하나의 원호를 기준으로 정의될 수 있다."
"In some configurations, at least two, and preferably three or more optical sensors 50 are employed.","일부 실시형태에서, 적어도 2개, 바람직하게는 3개 이상의 광학 센서(50)가 채용된다."
"However, unlike one-way computers, robots should have the characteristics of two-way nature.",그러나 로봇은 단방향성의 컴퓨터와 달리 양방향성의 특성을 가져야 한다.
"In some embodiments, a carrier containing a computer program product is provided.","일부 실시형태에 있어서, 컴퓨터 프로그램 제품을 포함하는 캐리어가 제공된다."
"However, contrary to the miniaturization of the device, the size of the display mounted on the device is being made.","다만, 디바이스의 소형화와는 반대로 디바이스에 탑재되는 디스플레이에 대해서는 대형화가 이루어지고 있다."
The communication unit may be optionally provided according to the design of the mobile device.,커뮤니케이션 유닛은 모바일 디바이스의 설계에 따라 선택적으로 구비될 수 있다.
"Finger language (consonants, vowels, numbers, etc.) can be extracted more quickly with image prediction technology through artificial neural networks.","지화(자음, 모음, 숫자 등)의 경우는 인공신경망을 통한 이미지 예측 기술로 보다 빠르게 추출이 가능하다."
The non-transitory storage medium may comprise a data storage device.,비-일시적 스토리지 매체는 데이터 스토리지 디바이스를 포함할 수 있다.
The virtual environment control method may further include an upper motion recognition step of recognizing an upper motion of a user using a sensor unit.,상기 가상환경 제어방법은 센서유닛을 사용하여 사용자의 상부모션을 인식하는 상부모션 인식단계를 더 포함할 수 있다.
"The operating regions 230 typically include an actuator, and in some configurations a sensor.","작동 영역들(230)은 통상적으로 액추에이터를 포함하고, 일부 실시예들에서는 센서를 포함한다."
"To achieve this low defect rate, part average inspection (PAT) is commonly used in product inspection programs.","이러한 낮은 결함률을 달성하기 위해, 일반적으로 부품 평균 검사(PAT)가 제품 검사 프로그램에 사용된다."
"According to an embodiment, a thinning portion is formed in the transition region between the sub region and the end region of each reinforcing element.","일 실시 예에 따르면, 각각의 보강 요소의 서브 영역과 단부 영역 사이의 전환 영역에 시닝부가 형성되어 있다."
"Among common actions that meet this condition, priority is given by placing different weights according to the number of endpoints discovered.",이 조건에 맞는 공통 행위 중 발견된 엔드포인트의 수에 따라 비중을 다르게 두어 우선순위를 둔다.
"Through this process, transmission errors may be reduced and reliability of data transmission may be improved.",이러한 과정을 통해 전송 오류가 감소될 수 있고 데이터 전송의 신뢰도가 개선될 수 있다.
Each of the plurality of items may be displayed as different graphic objects and provided to the user.,상기 복수의 아이템은 각각 서로 다른 그래픽 객체로 표시되어 사용자에게 제공될 수 있다.
"When examining the table, it can be clear that the KISS structure can hold salts associated with various cryptographic operations.","표를 검토할 때, KISS 구조가 다양한 암호 연산들과 관련된 salt들을 보유할 수 있음이 명백할 수 있다."
"On the other hand, the fifth composite function input button and the sixth composite function input button may have different driver signal periods.","반면, 상기 제5 복합기능 입력버튼과 상기 제 6 복합기능 입력버튼은 서로 다른 드라이버 신호주기를 갖을 수 있다."
The specific length section of the flexible display may include a specific extension length section before being extended to each unit length.,플렉서블 디스플레이의 특정 길이 구간은 각 단위 길이로 확장 되기 이전의 특정 확장 길이 구간을 포함할 수 있다.
"It may be seen that when user 200 is in the anatomical position, the frontal plane divides the user's 200's wrist and hand.","사용자(200)가 해부 자세에 있을 때, 정면 평면은 사용자(200)의 손목 및 손을 분할한다는 것을 알 수 있다."
Newly available content includes new and/or changed content.,새롭게 이용 가능한 콘텐츠는 새 콘텐츠 및/또는 변경된 콘텐츠를 포함한다.
The 3D touch may refer to a touch having a pressure sufficient to cause bending on the surface of the touch input unit 100.,3D 터치는 터치 입력부(100)의 표면에 휨이 발생할 수 있을 정도의 압력을 가지는 터치를 의미할 수 있다.
"As another example, it may be assumed that a web site is accessed through a web browser and a virtual keyboard is included on the screen.","다른 예로, 웹 브라우저를 통해 웹 사이트에 접속하고, 화면에 가상 키보드가 포함된 상황을 상정할 수도 있다."
"In some configurations, the non-local graphic element represents the application obtained for the recipient.","일부 실시예들에서, 비로컬 그래픽 요소는 수신자에 대해 획득된 애플리케이션을 나타낸다."
"PDAs may also include functionality to play simple games, music and other media files.","PDA들은 간단한 게임들, 음악 및 다른 미디어 파일들을 플레이할 수 있는 기능성도 포함할 수 있다."
All of these methods are difficult to implement with the conventional method of forming a metal oxide conductive pattern such as ITO.,이런 방법들은 모두 기존의 ITO와 같은 금속산화물 도전 패턴의 형성방식으로는 구현하기 어렵다.
Their interfaces can be very different even on the same company product.,이들의 인터페이스는 심지어 동일한 회사 제품에서도 매우 상이할 수 있다.
"In at least one configuration, the notification includes information indicating the sender of the message.","적어도 일 실시예에서, 통지는 메시지의 송신자를 지시하는 정보를 포함한다."
The user may supply a predetermined operation instruction related to the predetermined gesture by using the gesture.,사용자는 제스처를 사용하여 소정의 제스처에 관련된 소정의 조작 명령을 공급할 수 있다.
Program noise is caused by having different threshold voltage shift speeds for each memory cell.,프로그램 노이즈는 각각의 메모리 셀마다 서로 다른 문턱 전압 이동 속도를 갖는 것에 기인한다.
The digital component for car service may be a web site where a user schedules car service.,자동차 서비스를 위한 디지털 컴포넌트는 사용자가 자동차 서비스를 스케줄링하는 웹 사이트일 수 있다.
"Meanwhile, optimum data storage unit 340 stores the optimum data received from optimization determination unit 330.","한편, 최적데이터 저장부(340)는 최적화 판단부(330)로부터 수신한 최적 데이터를 저장한다."
"Corresponding to the index S, the shape data associated with the node may also be stored as a vector T having the same dimension as S.","인덱스 S에 대응하여, 노드와 연관된 형상 데이터는 또한 S와 동일한 차원을 갖는 벡터 T로서 저장될 수 있다."
The multidrop bus is a connection technology in which multiple modules communicate with each other by sharing one signal line (bus).,"멀티드롭 버스는, 복수의 모듈이 1개의 신호 선로(버스)를 공유하여 상호 통신하는 접속 기술이다."
The touch display device 10 according to example embodiments may sense N (N is a natural number of 1 or more) pens.,본 발명의 실시예들에 따른 터치 표시 장치(10)는 N(N은 1 이상의 자연수)개의 펜을 센싱할 수 있다.
Cell interleaving may not be performed on data in the PLP.,PLP 내의 데이터에 대하여 셀 인터리빙은 수행되지 않을 수 있다.
The wearable system can calculate the motion of the active surface based on the user's motion.,웨어러블 시스템은 사용자의 움직임에 기반하여 활성 표면의 움직임을 계산할 수 있다.
"As an example, configurations may be employed for a memory included in the working memory 120.","예로서, 실시 예들은 워킹 메모리(120)에 포함된 메모리를 위해 채용될 수 있다."
"Inquiries, additions, and corrections are performed to manage information leakage by malicious users.","악의적인 사용자의 정보유출 관리를 위해 조회, 추가, 수정 작업이 이루어진다."
"Once the account is verified, the user's user credentials may be related to the new service.","계정이 검증되면, 사용자의 사용자 자격증명이 새 서비스와 연관될 수 있다."
"The input device may be, for example, a touch input through a virtual keyboard.","상기 입력 장치는, 예를 들어, 가상 키보드를 통한 터치 입력일 수 있다."
A smartphone may not be able to capture video less than a duration of 2 s or 3 s.,스마트폰은 2 또는 3초의 지속시간보다 작은 비디오를 캡처하지 못할 수 있다.
"On the other hand, one computer is provided in a family home, and all family members use the one computer.","한편, 가정집에는 1대의 컴퓨터가 비치되고 가족 구성원 모두가 상기 1대의 컴퓨터를 사용한다."
"In general, each cell in a column may contain the same type of data (ie, date, address, name, number, etc.).","일반적으로, 컬럼 내의 각각의 셀은 동일한 유형의 데이터(즉, 날짜, 주소, 성명, 번호 등)를 포함할 수 있다."
"In this example, the graphic 2914 corresponding to the hand drawn input is replaced by the predetermined graphic 2922.","이 예에서, 손으로 그린 입력에 대응하는 그래픽(2914)은 사전결정된 그래픽(2922)에 의해 대체된다."
"Here, the plurality of regions may be divided in correspondence with the audiovisual degree of the user (viewer) viewing the screen.","여기서, 복수의 영역은 화면을 바라보는 사용자(시청자)의 시청각도에 대응하여 구분될 수 있다."
"In configurations, the target area 104 may be offset with respect to a particular location in the x-direction from a particular location.","실시예들에서, 타겟 영역(104)은 특정한 위치로부터 x-방향으로 특정한 위치에 관하여 오프셋일 수 있다."
Status information indicating such presence information needs to be shared between users.,이러한 프레즌스 정보를 나타내는 상태 정보는 사용자간에 공유될 필요가 있다.
"In one aspect, the surgical site video is additionally displayed on a display located on the electronics cart 56.","일 양태에서, 수술 부위 비디오는 전자기기 카트(56) 상에 위치된 디스플레이 상에 부가적으로 디스플레이된다."
"In accordance with some configurations, a continuous haptic output is provided that extends over a plurality of sequential tones within an audio component.","일부 실시예들에 따라, 오디오 성분 내의 복수의 순차적 음에 걸쳐 연장되는 연속적 햅틱 출력이 제공된다."
"The application is a voice communication application, according to some configurations.","애플리케이션은 일부 실시예들에 따라, 음성 통신 애플리케이션이다."
"By way of example and without limitation, edge 506 may indicate both a user liked a particular concept and used in a particular concept.","예로서 제한없이, 에지(506)는 사용자가 특정 컨셉을 좋아한 것 및 특정 컨셉에서 사용한 것 모두를 나타낼 수 있다."
"With this indexed application state, the user can fetch that application state through a query.","인덱싱된 이 애플리케이션 상태로, 사용자는 질의를 통해 그 애플리케이션 상태를 인출할 수 있다."
The method proceeds to the next step of identifying attributes from tags related to the placement of content at 520.,방법은 520에서 콘텐츠의 배치에 관련한 태그들로부터 속성들을 식별하는 다음 단계로 진행한다.
Each sub-sequence represents a dimension for the output funnel and a corresponding dimension value.,각 서브-시퀀스는 출력 퍼널에 대한 치수 및 대응하는 치수 값을 나타낸다.
The terminal portion is located inside the first protrusion and is located inside the body more than the first protrusion.,단자부는 제1 돌출부의 내부에 위치하면서 제1 돌출부보다 더 본체의 내부에 위치한다.
"In this way, the call screen is also treated as one object here.","여기에서는 이와 같이, 호출 화면도 1개의 오브젝트로서 취급한다."
Some virtual objects can be both an operating system object and an object within an application.,일부 가상 객체들은 오퍼레이팅 시스템 객체 및 애플리케이션 내의 객체 둘 다일 수 있다.
"Since there is no need to press the home button to close the app, the home button may be removed from the device depending on the design.",앱의 종료를 위하여 홈버튼을 누를 필요가 없으므로 설계에 따라서는 장치에서 홈버튼을 제거할 수도 있다.
Different Japanese characters in the overlap box 27 are associated with different logical sets of Japanese characters.,오버랩 박스(27) 내의 상이한 일본어 글자는 일본어 글자의 상이한 논리 세트와 관련된다.
The device can then transmit the converted signal to the system 10 via the communication device 20.,"그 후, 디바이스는 통신 디바이스(20)를 통해 시스템(10)으로 변환된 신호를 전송할 수 있다."
Motion sensor 150 may measure acceleration and angular velocity to detect whether input device 100 is gripped.,모션 센서(150)는 입력 디바이스(100)의 파지 여부를 감지하기 위해 가속도 및 각속도를 측정할 수 있다.
Certain places could also be marked by the user as the start or end of the planned trip.,특정 장소는 또한 계획된 여행의 시작 또는 종료로서 사용자에 의해 마킹될 수 있었다.
"At the end of the third part of the dense ADC comparison step, the next lower bit of the dense ADC value is determined to have a value of zero.",조밀 ADC 비교 단계의 제3 부분의 종료시 조밀 ADC 값의 그 다음 하위 비트는 0 값을 갖도록 결정된다.
Example 4 below is an example of the present invention for calculating the final corrected SOC value.,하기 실시예 4는 상기 최종 보정된 SOC값을 산출하는 본 발명의 일 예이다.
Sensing unit 110 according to an embodiment of this invention may detect a gesture or pattern input from a user.,본 발명의 일 실시예에 따른 센싱부(110)는 사용자로부터 입력되는 제스처 또는 패턴을 감지할 수 있다.
There is a demand for a user interface in consideration of user convenience and an intuitive text input method through the same.,사용자 편의성을 고려한 유저 인터페이스 및 이를 통한 직관적인 텍스트 입력 방법이 요구되고 있는 실정이다.
The method may further include determining a utility for the application from the list of applications.,방법은 애플리케이션들의 목록으로부터의 애플리케이션에 대한 유틸리티를 결정하는 단계를 더 포함할 수 있다.
"In one configuration, the text input device may recognize a user's face from image information.","실시예에 있어서, 텍스트 입력 디바이스는 영상 정보에서 사용자의 얼굴을 인식할 수 있다."
"However, the EDR hash value is also stored in the ECU header, and is encrypted and stored using the hash value of the ECU.","다만, EDR 해쉬값은 ECU 헤더에도 저장되며, ECU의 해쉬값을 이용하여 암호화되어 저장된다."
VRM is originated from the notion that the customer directly manages his/her data held by the company.,VRM은 기업이 보관하는 고객 데이터를 고객이 직접 관리한다는 개념에서 출발하였다.
"The RF module 234 may be responsible for transmitting and receiving data, for example, transmitting and receiving an RF signal or a called electronic signal.","상기 RF 모듈 234은 데이터의 송수신, 예를 들면, RF 신호 또는 호출된 전자 신호의 송수신을 담당할 수 있다."
The exposure time and the like in the imaging device 12 are controlled according to the timing signal.,타이밍 신호에 따라 촬상 소자(12)에서의 노출 시간 등이 제어된다.
