Q,A
"In this case, a matching table in which weights are matched for each word type is stored in the general model DB 340 and can be called when necessary.","이 경우, 단어의 타입 별로 가중치가 매칭된 매칭 테이블은 일반 모델 DB(340)에 저장되어 필요 시 호출될 수 있다."
5 is a circuit diagram according to another embodiment of the first pulse generation circuit included in the internal voltage generation circuit shown in FIG. 1.,도 5는 도 1에 도시된 내부전압생성회로에 포함된 제1 펄스생성회로의 또 다른 실시예에 따른 회로도이다.
"For pressure sensitive input sensing components, these various modules also identify the amount of pressure applied at the touched position.","압력 감지식 입력 감지 컴포넌트에 대해서, 이들 다양한 모듈은 또한 터치된 위치에서 가해진 압력의 양을 식별한다."
"A RAN (eg, a central unit or a distributed unit) may constitute cells.","RAN(예컨대, 중앙 유닛 또는 분산형 유닛)이 셀들을 구성할 수 있다."
"According to the second method of the present invention, priority may be changed based on block division depth information of a current block and a neighboring block.","본 발명의 제2 방법에 따르면, 현재 블록과 주변 블록의 블록 분할 깊이 정보에 기초하여 우선 순위가 달라질 수 있다."
The first electronic device may identify a second electronic device capable of transmitting and receiving data based on a user input.,"제 1 전자 장치는 사용자의 입력에 기반하여, 데이터 송수신이 가능한 제 2 전자 장치를 식별할 수 있다."
9 shows an example of a login screen provided by a medical consultation program.,도 9는 의료상담프로그램이 제공하는 로그인 화면의 일 예를 도시한 것이다.
"Thereafter, an average of a value obtained by multiplying the estimated channel gain by the complex conjugate value of the despread pilot signal is output.","이후, 추정된 채널 이득의 켤레 복소수 값에 역확산된 파일럿 신호를 곱한 값의 평균을 출력한다."
The intermediate wiring structure 123 may include an information storage pattern 123a and a channel pattern 123b.,"중간 배선 구조체(123)는 정보 저장 패턴(123a), 채널 패턴(123b)을 포함할 수 있다."
The memory 450 may temporarily store digital electrical signals.,메모리(450)는 디지털의 전기적인 신호를 일시적으로 저장할 수 있다.
The search emoticon 200 may include a storage area 250 or a sharing area 260.,검색 이모티콘(200)은 저장 영역(250) 또는 공유 영역(260)을 포함할 수 있다.
The processor 120 may receive a job execution command only for an authenticated user.,프로세서(120)는 인증된 사용자에 대해서만 잡 수행 명령을 입력받을 수 있다.
The information on the DST interval may be represented by bitmap information indicating a DST subframe.,DST 구간의 정보는 DST 서브프레임을 나타내는 비트맵 정보로 나타낼 수 있다.
"In response to the received ground activation signal GE, the address decoder 120 is configured to adjust the output voltage.","수신된 접지 활성 신호(GE)에 응답하여, 어드레스 디코더(120)는 출력 전압을 조절하도록 구성된다."
"For another example, the communication module 141 may transmit and receive data of different communication methods through different communication channels.","다른 예를 들어, 통신 모듈(141)은 다른 통신 채널을 통해 다른 통신 방식의 데이터를 송수신할 수 있다."
"Specifically, the electronic device according to the first embodiment of the present invention may be a terminal device of a user.","구체적으로, 본 발명의 제 1 실시 예에 따른 전자 장치는 사용자의 단말 장치일 수 있다."
The code is then encrypted and sent to the receiver to incorporate the received information as part of an anonymous and unique tag for data exchange.,코드는 그 후 암호화되며 데이터 교환을 위한 익명의 및 고유 태그의 부분으로서 수신된 정보를 통합할 수신기로 전송된다.
"Accordingly, steps S110, S120, and S130 may be performed simultaneously or in parallel.","따라서, S110 단계, S120 단계 및 S130 단계는 동시에 또는 병렬적으로 수행될 수 있다."
The channel estimator 40 may estimate the received power of the received signal by using the pilot of the forward signal.,채널 추정부(40)는 순방향 신호의 파일럿을 이용하여 수신 신호의 수신 전력을 추정할 수 있다.
"Without using an insert, the LED itself can be placed in the opening of the housing.","인서트를 이용하지 않고, LED 자체가 하우징의 개구부에 배치될 수 있다."
"In this study, factors for the selection of vulnerable areas were divided into watershed characteristic factors and pollutant source factors.",본 연구에서는 취약지역 선정을 위한 인자로서 유역 특성 인자와 오염원 인자로 구분하였다.
It is dangerous to interpret this as a result that male students are in a more desperate situation than female students for employment.,이것을 두고 남학생들이 상대적으로 취업에 대해 여학생보다 절박한 상황에 놓여 있다는 결과로 해석하는 것은 위험하다.
"The additional information 330 may include an image, a video file, and a sound.","상기 추가정보(330)는 이미지, 동영상파일, 소리 등을 포함할 수 있다."
The application program may include an interrupt service routine as needed.,응용 프로그램은 필요에 따라 인터럽트 서비스 루틴을 포함할 수 있다.
"According to various embodiments, a new indicator may be defined in the RRC message.","다양한 실시 예들에 따라, 상기 RRC 메시지에 새로운 지시자가 정의될 수 있다."
It can be interpreted in many ways even among documents.,문서들 사이에서도 여러 가지 의미로 해석될 수 있다.
The management device may receive information on the antenna configuration of the train 1140.,관리 장치는 기차 1140의 안테나 구성에 대한 정보를 수신할 수 있다.
"In addition, it is working hard to recruit talented people by operating a software specialist selection system.",또한 그것은 소프트웨어 특기자 전형 제도를 운영해 역량을 갖춘 인재 모집에도 노력하고 있다.
"It is being argued that the broadcasting area should be viewed as a whole, not as a unit.",방송구역 단위가 아닌 전국으로 보아야 한다는 주장이 제기되고 있다.
The payment application may refer to an application that performs a payment function of the processor 410.,결제 어플리케이션은 프로세서(410)의 결제 기능을 수행하는 어플리케이션을 의미할 수 있다.
The first bank 410 may be divided into a first sub bank 411 and a second sub bank 412.,제1 뱅크(410)는 제1 서브 뱅크(411)와 제2 서브 뱅크(412)로 구분될 수 있다.
"In this step, the circumference of the implant to the bone interface or the cement to the bone is digitized using a tracking probe.","이 단계에서, 뼈 인터페이스에 대한 임플란트 또는 뼈에 대한 시멘트의 둘레가 추적 프로브를 사용하여 디지털화된다."
"Here, the icon search screen may be various screens according to characteristics of icons.",여기서 아이콘 검색 화면은 아이콘들의 특성에 따라 다양한 화면이 될 수 있다.
"Referring to FIG. 3, a semiconductor memory system includes a memory control device 310 and a plurality of memory devices 320.","도 3 을 참조하면, 반도체 메모리 시스템은 메모리 제어 장치(310)와 다수의 메모리 장치(320)를 구비한다."
"Directional linking represents the order in which certain actions, represented by multiple positioned visual elements, will occur.","방향성 연결은, 다수의 위치된 시각적 엘리먼트들에 의해 표현되는 특정 액션들이 발생할 순서를 나타낸다."
The terminal device 110 may perform a distance-based function (step 2105).,단말 장치(110)는 거리기반 기능을 수행할 수 있다(2105 단계).
Various combinations of haptic and audio waveforms are output according to some embodiments.,일부 실시예들에 따라 햅틱 및 오디오 파형들의 다양한 조합들이 출력된다.
The payment method of the mobile terminal according to the present invention can be executed through software.,본 발명에 의한 이동 단말기의 결제 방법은 소프트웨어를 통해 실행될 수 있다.
The electronic device may generate a second image including the selected at least partial region.,상기 전자 장치는 상기 선택된 적어도 일부 영역을 포함하는 제2 영상을 생성할 수 있다.
The GSD of the orthographic image and DSM generated through unmanned aerial photogrammetry is 3 cm.,무인 항공사진측량을 통해 생성되는 정사 영상 및 DSM의 GSD는 3 cm이다.
"Previously, as an example of a method for producing random digital values, a method through hardware or software has been suggested.",기존에는 무작위의 디지털 값을 생산하기 위한 방법의 일 예로 하드웨어 또는 소프트웨어를 통한 방법이 제시되었다.
"This is to inform that the set value is unconfirmed, and to urge confirmation by the operator.","설정값이 미확정인 것을 알리기 위하여, 또 조작자에 의한 확인을 촉구하기 위해서이다."
The error detector 123_1 may receive part information from the memory 124.,에러 감지기(123_1)는 메모리(124)로부터 부품 정보를 제공받을 수 있다.
1 is a configuration diagram of a healthcare system 1 according to an embodiment of the present invention.,도 1은 본 발명의 일 실시예에 따른 헬스케어 시스템(1)의 구성도이다.
"Consequently, the voltage level of the feedback voltage V_FED may vary according to the detection signal DET.","결국, 피드백 전압(V_FED)의 전압 레벨은 검출 신호(DET)에 따라 달라질 수 있다."
"Earlier this year, BBB opened fast charging stations for electric vehicles that allow smart payments in five branches on Jeju Island.","올해 초, BBB는 제주도 5개 지점에 스마트 결제가 가능한 전기자동차 급속 충전소를 열었다."
"It is necessary to strengthen ICT capabilities in the ICT-using sector and the service sector, which have been sluggish in the past.",그동안 부진하였던 ICT 사용 부문 및 서비스업 부문의 ICT 역량 강화가 필요하다.
The monitoring unit 222 may detect whether identification information stored in the monitored address is included in a preset range.,감시부(222)는 모니터링하는 주소에 저장되는 식별 정보가 기 설정된 범위에 포함되는지 여부를 감지할 수 있다.
The region dividing unit 120 may receive image data ID[N].,영역 분할부(120)는 영상 데이터(ID[N])를 수신할 수 있다.
"As a result of the study, the pursuit and satisfaction was grouped into three factors: menu and quality excellence, viewing activity, and device diversity.","연구 결과, 추구충족으로는 메뉴 및 품질 우수성, 시청 능동성, 기기다양성 등 3개 요인으로 묶였다."
"That is, the UE may be configured to transmit HARQ ACK/NACK accumulated up to timing information.","즉, UE는 타이밍 정보까지 누적된 HARQ ACK/NACK을 전송하도록 구성될 수 있다."
The identifier extraction unit 320 extracts at least one second identifier from the received binary file.,식별자 추출부(320)는 수신된 바이너리 파일로부터 적어도 하나의 제2 식별자를 추출한다.
The third space 106c is formed at both ends of the first space 106a.,상기 제3 공간(106c)은 상기 제1 공간(106a)의 양단부에 형성된다.
"In the past, topographic map images were assigned coordinates through a georeferencing process using map coordinates.",과거 지형도 이미지는 도곽 좌표를 이용한 지오레퍼런싱 과정을 거쳐 좌표를 부여하였다.
"That is, the third clock state may be a signal instructing the clock converter 110 to convert the first clock.","즉, 제3 클럭 상태는 클럭 변환부(110)가 제1 클럭을 변환하도록 지시하는 신호일 수 있다."
The camera 180 may include a plurality of cameras disposed on the front side or the rear side of the electronic device 101.,카메라(180)는 전자 장치(101)의 전면 또는 후면에 배치되는 다수 개의 카메라를 포함할 수 있다.
"That is, the semiconductor memory device 300 may be controlled by the controller 200 in an input/output multiplexing method.","즉, 반도체 메모리 장치(300)는 컨트롤러(200)에 의해서 입출력 멀티플렉싱 방식으로 제어될 수 있다."
80 out of 104 wildfires were predicted.,산불이 발생한 104건 중 80건의 발생 예측에 성공했다.
The permissible scope of big data in relation to such personal information legislation is as follows.,그러한 개인정보 법제와 관련한 빅 데이터 허용 범위는 이러하다.
"In other words, the state-based system is paralyzed, leading to social chaos and incapacity.",즉 국가기반체계가 마비되어 사회 혼란과 무능화 사태까지 이어지고 있다.
"In another example, the terminal may use the advertisement as a lock screen, an intermediate screen, or a home screen.","또 다른 예의 경우, 터미널은 상기 광고를 잠금 화면, 중급 화면 또는 홈 화면으로 이용할 수 있다."
Steps S391 and S392 may be performed through DHCP.,S391단계 및 S392단계는 DHCP를 통해 수행될 수 있다.
"It was found that as the surface temperature increased, the temperature also gradually increased.",표면 온도가 증가할수록 기온도 점차 상승하는 것을 알 수 있었다.
A user can easily develop various vehicle software without a complicated data analysis process.,사용자는 복잡한 데이터 분석 과정 없이도 다양한 차량용 소프트웨어 개발을 용이하게 수행할 수 있게 된다.
"In this case, the stimulation providing device 420 may include a speaker that provides auditory stimulation.","이 때, 자극 제공 장치(420)는 청각적 자극을 제공하는 스피커를 포함할 수 있다."
The definition of the concept of smartphone dependence is not yet clear.,스마트폰 과의존에 대한 개념 정의는 아직 분명하지 않은 점들이 있다.
The new group service authentication key in step 1214 is transmitted through a ranging response message.,상기 1214단계의 상기 새로운 그룹 서비스 인증 키는 레인징 응답 메시지를 통해 전달된다.
The processor 122 may include a state detector 128 and a write controller 129 according to an embodiment of the present invention.,프로세서(122)는 본 발명의 실시 예에 따른 상태 검출기(128) 및 쓰기 컨트롤러(129)를 포함할 수 있다.
A portion of the binding member 102a may be mounted to face a portion of the side surface S of the housing 101.,상기 결착 부재(102a)는 일부분이 상기 하우징(101)의 측면(S) 일부에 마주보게 장착될 수 있다.
"Information philosophy and information ethics share the goal of post-human education that leads students to be open to differences and diversity, while bringing in-depth understanding of the nature and nature of ICT into an important part of education.","정보 철학과 정보 윤리는 이처럼 학생들로 하여금 차이와 다양성에 열린 자세를 갖게 이끌어 주는 포스트휴먼 교육의 목표를 공유하면서, ICT의 성격과 본질에 대한 깊이있는 이해를 교육의 중요한 부분으로 끌어들인다."
The program memory stores programs for controlling general operations of the base station 120.,프로그램 메모리는 기지국(120)의 일반적인 동작을 제어하기 위한 프로그램들을 저장한다.
"On the other hand, the fourth slice (Slice 4) not selected in the above-described process may be included in a separate packet.","반면에, 전술한 과정에서 선택되지 않은 제4 슬라이스(Slice 4)는 별도의 패킷에 포함될 수 있다."
The electronic device DD may generate a nail image based on the reflected light.,"전자장치(DD)는 반사광을 기초로, 손톱 이미지를 생성할 수 있다."
"In the embodiment of FIG. 6, the mode switching condition is different according to the type of wireless network currently being used.",도 6의 실시 예에서 모드 전환 조건은 현재 사용 중인 무선망의 종류에 따라 상이해진다.
Graphs of different receivers can be averaged and combined into a single graph.,상이한 수신기들의 그래프들은 평균화되어 단일 그래프로 결합될 수 있다.
"In an exemplary application, the terminal receives a touch operation through the touch screen of the terminal itself.","예시적인 적용에서, 단말기는 단말기 자체의 터치스크린을 통해 터치 작동을 수신한다."
"Thereafter, it is determined whether a touch operation is input to the touch input window (S2104).","이후, 터치 입력 창에 터치 동작이 입력되는지 판단한다(S2104)."
Various types of peripheral devices can be coupled to the I/O interface 155.,다양한 유형의 주변 장치가 I/O 인터페이스(155)에 커플링될 수 있다.
Polarized glasses (GLS) divide and transmit the left-eye image and the right-eye image emitted through the patterned retarder film (FPR).,편광안경(GLS)은 패턴드 리타더 필름(FPR)을 통해 출사된 좌안영상과 우안영상을 구분하여 투과시킨다.
The first layer FE-B may include a transparent metal oxide such as indium-tin-oxide.,상기 제1 층(FE-B)은 인듐-주석-산화물과 같은 투명한 금속산화물을 포함할 수 있다.
It may be text information 730 of a portion where an area of ??a web page displayed on the display unit starts.,디스플레이부에 디스플레이된 웹 페이지의 영역이 시작되는 부분의 문장 정보(730) 등이 될 수 있다.
It corresponds to a cluster service with a common rate setting constraint.,공통 요금 설정 제약이 존재하는 군집 서비스에 해당한다.
"Accordingly, an access control method for an OFDMA-based wireless mesh network is required.",이에 따라 OFDMA 기반의 무선 메쉬 네트워크를 위한 접속 제어 방법이 요구된다.
The image captured by the camera 170 may be used by the processor 160 to recognize the user's face.,카메라(170)를 통해 촬영된 이미지는 프로세서(160)가 사용자의 얼굴을 인식하는데 이용될 수 있다.
8 and 9 are cross-sectional views illustrating a camera module for both general photographing and infrared photographing according to another embodiment of the present invention.,도 8 및 도 9는 본 발명의 또 다른 실시예에 따른 일반 촬영 및 적외선 촬영 겸용 카메라 모듈을 도시한 단면도들이다.
"For most companies that lack cooperation experience and the ability to overcome obstacles, the experience of senior companies and advice from private experts can be the most realistic alternative.",협력 경험과 장애 요인을 극복할 수 있는 역량이 크게 부족한 대부분의 기업들에게는 선배 기업의 경험과 민간 전문가의 조언이 가장 현실적인 대안이 될 수 있다.
"If it is not greater than the threshold, it may be determined that the ransomware is not active, that is, does not exist in the SSD.","임계값보다 크지 않으면, 랜섬웨어가 활동하지 않는 것, 즉, SSD에 존재하지 않는 것으로 결정할 수 있다."
The mobile terminal 100 transmits the authentication information obtained through the biometric authentication process to the authentication server 200.,이동 단말기(100)는 생체 인증 과정을 통해 획득한 인증 정보를 인증 서버(200)로 전송한다.
The user may use the flexible display by folding it in exactly half.,사용자는 플렉서블 디스플레이를 정확히 반으로 접어 사용할 수도 있다.
39% argue that the right to be forgotten should be introduced in the form proposed by Europe.,39%는 유럽에서 제안한 형태로 잊힐 권리를 도입해야 한다고 주장한다.
The user has an internet enabled device in the dining room and in the living room.,사용자는 식사 시간 및 거실에서 인터넷 가능 디바이스를 가지고 있는다.
The direction of the eddy current in the region 314 and the direction of the current in the first coil 204 may be the same.,영역(314)에서 와전류의 방향과 제1 코일(204)의 전류의 방향은 동일할 수 있다.
"The input syndrome is a binary vector of length n-kj, and the output is a binary error vector or failure of length n.","입력 신드롬은 길이 n-kj의 이진 벡터이고, 출력은 길이 n의 이진 오류 벡터 또는 실패이다."
The user may input a touch according to information displayed through the display device 160.,"사용자는, 표시 장치(160)를 통해 표시된 정보를 따라 터치를 입력할 수 있다."
"In some embodiments, the processor may adjust changes in the signal to change the level of roughness.","일부 실시예에서, 프로세서는 거칠기의 레벨을 변경하기 위해 신호의 변화를 조정할 수 있다."
18 is a block diagram illustrating a memory system 1000 according to another embodiment of the present invention.,도 18은 본 발명의 다른 실시 예에 따른 메모리 시스템(1000)을 나타내는 블록 구성도이다.
The difference differentiation operation may mean a Laplacian operation.,차 미분 연산은 라플라시안(Laplacian) 연산을 의미할 수 있다.
The cable hole 410 may be opened in the front and rear direction of the PCB plate 400.,케이블 홀(410)은 PCB 플레이트(400)의 전후 방향으로 개방될 수 있다.
The backup URL information may be the address of another folder on the same server or of a different server.,"백업 URL 정보는 동일 서버의 다른 폴더의 주소일 수도 있고, 다른 서버의 주소일 수도 있다."
The sixth data field DI may include information corresponding to dependency.,제6 데이터 필드(DI)는 의존성에 대응하는 정보를 포함할 수 있다.
"Referring to FIG. 14, the terminal may manage beams of the terminal using indexes.","도 14를 참고하면, 단말은 인덱스들을 이용하여 단말의 빔들을 관리할 수 있다."
"In one embodiment, the processor returns the device to the primary authentication session in response to the end of the second authentication session.","일 실시예에서, 프로세서는 제2 인증 세션의 종료에 응답하여 디바이스를 1 차 인증 세션으로 복귀시킨다."
The control unit may change the location of the selected object when the direction in which the input device faces is changed.,상기 제어부는 상기 입력장치가 향하는 방향이 바뀌면 상기 선택된 객체의 위치를 변화 시킬 수 있다.
The light conversion member 300 converts a 2D image into a 3D image by adjusting the light of the light source unit 100.,상기 광 변환 부재(300)는 상기 광원부(100)의 광을 조절하여 2차원 영상을 3차원 영상으로 변환한다.
The controller 180 may determine the region to be deformed by using the depth value.,"상기 제어부(180)는 상기 depth 값을 이용하여, 상기 변형 대상 영역을 결정할 수 있다."
It was confirmed that the elevation of the numerical elevation model did not change during interpolation.,수치 표고 모델의 표고는 보간을 하는 동안 변경되지 않음이 확인되었다.
57A and 57B illustrate patterns generated in an initial stage according to an embodiment of the present invention.,도 57a 및 57b는 본 발명의 일 실시 예에 따른 초기 단계에서 생성된 패턴을 도시한다.
"Accordingly, the user can effectively use functions that have been operated only in the mobile terminal 100 in other electronic devices.",따라서 사용자는 이동 단말기(100)에서만 조작하던 기능을 다른 전자기기에서도 효과적으로 사용할 수 있다.
"When parity latency is enabled and applied to all commands, an additional delay to perform that command is programmed.","패리티 레이턴시가 인에이블되어 모든 커맨드들에 인가될 때, 그 명령을 수행하기 위한 추가적인 지연이 프로그램된다."
The weekly view may consist of a column representing each day of the week and a row representing the time slots of the day.,주간 뷰는 그 주의 각각의 요일을 나타내는 열과 하룻날의 시간 슬롯을 나타내는 행으로 구성될 수 있다.
"In particular, the storage manager 212 may be loaded in the working memory 213.","특히, 워킹 메모리(213)에는 스토리지 매니저(212)가 로드될 수 있다."
"If you look closely at the interconnections of the technologies related to the '4th Industrial Revolution', which are presented one by one in Chapter II, from 2 to 6, it can be seen that the technologies are combined in a kind of cyclical structure, centering on artificial intelligence.","II장의 2부터 6까지 순차로 하나씩 제시하면서 설명한 '4차 산업혁명' 관련 기술들의 상호 연관성을 자세히 살펴보면, 인공지능을 중심으로 기술 상호 간에 일종의 순환적인 구조로 결합하고 있다고 볼 수 있다."
"The lower pattern 436 may have a conical shape, as shown in FIG. 21.","하부패턴(436)은 도 21에 도시된 바와 같이, 원뿔의 형상을 가질 수 있다."
The second point in time according to an embodiment of the present invention may correspond to a point in time after deterioration occurs in the pixel.,본 발명의 일 실시 예에 따른 상기 제2 시점은 상기 픽셀에 열화가 발생한 이후의 시점에 해당할 수 있다.
Image data may be stored in the memory 170 or may be output through the display 180.,"이미지 데이터는 메모리(170)에 저장되거나, 디스플레이(180)을 통해 출력될 수 있다."
"Here, the user terminal 100 corresponds to the object editing apparatus 100 of multi-pasting.",여기서 사용자 단말(100)은 다중 붙이기의 개체 편집 장치(100)에 해당한다.
"For this reason, I do not believe that the use of statements or the submission of related evidence in the dispute resolution process is not uniformly limited.","때문에, 분쟁 조정 절차에서의 진술 원용이나 관련 증거 제출을 일률적으로 제한할 것은 아니라고 본다."
"The processor 20 may include a preprocessor 21, an advanced neural network learning unit 22, and a classification unit 23.","프로세서(20)는 전처리부(21), 심화 신경망 학습부(22), 분류부(23)를 포함할 수 있다."
"The state parameter may be a driving parameter indicating a degree of balance, vibration, etc. of the UTB 410a.","상태 파라미터는 UTB(410a)의 평형, 진동 등의 정도를 나타내는 구동 파라미터일 수 있다."
The controller 180 may change a set value of the codec according to the changed audio path.,제어부(180)는 변경된 오디오 경로에 맞게 코덱(Codec)의 설정값을 변경할 수 있다.
A check node update and a variable node update can form one LDPC decoding.,검사 노드 갱신 및 변수 노드 갱신은 하나의 LDPC 디코딩을 형성할 수 있다.
"Here, the locked state is a state in which input of a user's control command for applications included in the terminal is restricted.","여기서, 잠금 상태는 단말기에 포함된 어플리케이션들에 대한 사용자의 제어명령의 입력을 제한하는 상태이다."
The first part 371 may be made of a plastic material or a metal material.,상기 제1 부분(371)은 플라스틱 재질 또는 금속 재질로 이루어질 수 있다.
"In this case, since the pilot pattern of the VBRU follows the pattern of the OBRU as it is, changes in system operation can be minimized.",이 경우 VBRU의 파일럿 패턴은 OBRU의 패턴을 그대로 따라가므로 시스템 운용상의 변화를 최소화할 수 있다.
The user can control the IT system using the hardware by gesture to control the augmented reality environment.,사용자는 증강현실환경의 제어를 위해 제스처에 의해 상기 하드웨어를 사용하여 IT 시스템을 제어할 수 있다.
1 illustrates a situation in which a transmitting end 130 is a base station and performs downlink communication.,"도 1은 송신단 130이 기지국으로서, 하향링크 통신을 수행하는 상황을 예시한다."
35 shows another example of a scheduling CC-specific CC indexing method.,도 35는 스케줄링 CC 특정적인 CC의 인덱싱 방법의 다른 예를 나타낸다.
"Under the analog clock mode, the hour hand 301 and the minute hand 303 can move to indicate the current time.","아날로그 시계 모드 하에서, 시침(301) 및 분침(303)은 현재 시간을 나타내도록 이동할 수 있다."
"Alternatively, the wireless power transmitter included in the cradle may output a pulse signal before power transmission.","또는, 거치대에 포함된 무선 전력 전송부는 전력 송신전에 펄스 신호를 출력할 수 있다."
"As another example, focus information for a camera may be used to determine depth information.","다른 예로서, 카메라에 대한 초점 정보가 깊이 정보를 결정하는 데 사용될 수 있다."
"Accordingly, the first coupling part 450 may face the second coupling part 460.","이에 따라, 제1 결합부(450)는 제2 결합부(460)와 마주할 수 있다."
The logic level at which the masking signal MSK is enabled may be variously set according to embodiments.,마스킹신호(MSK)가 인에이블되는 로직레벨은 실시예에 따라 다양하게 설정될 수 있다.
"In this case, the agent device stores the received operation control information of at least one electric device in the first storage unit 140.",이 경우 에이전트 장치는 수신된 적어도 하나의 전기기기의 동작 제어 정보를 제1저장부(140)에 저장한다.
The node 1024 may correspond to a bounding box including primitives in which the most significant bit of the y-axis coordinate is 0.,노드(1024)는 y축 좌표의 최상위 비트가 0인 프리미티브들을 포함하는 바운딩 박스에 대응될 수 있다.
"Here, the criterion for calculating the learning reliability may be information related to a method of calculating the learning reliability.","여기서, 학습 신뢰도를 계산하는 기준은 학습 신뢰도의 계산 방법과 관련된 정보일 수 있다."
The image processing unit 320 may perform image processing of the demultiplexed image signal.,영상 처리부(320)는 역다중화된 영상 신호의 영상 처리를 수행할 수 있다.
"According to an embodiment, the range that the mirror of the electronic device 100 scans may be determined by a user's finger touch.",일 실시예에 따라 전자기기 100의 미러가 스캔하는 범위는 사용자의 손가락 터치에 의해 결정될 수 있다.
"This study analyzed the appropriateness of the location of evacuation facilities in preparation for chemical accidents in Ulsan Metropolitan City, and studied methods for minimizing damage.",본 연구는 울산광역시를 대상으로 화학 사고에 대비한 대피 시설 위치의 적정성을 분석하여 피해 최소화를 위한 방안을 연구하였다.
The k-th bitmap of the paging group information message corresponds to the k-th PGID of the paging group information message.,페이징 그룹 정보 메시지의 k번째 비트맵은 페이징 그룹 정보 메시지의 k번째 PGID에 대응한다.
"In particular, predicting changes in the labor market for the disabled due to changes in technology and the expansion of the Internet, President Bush proposed the New Freedom Initiative in 2001.",특히 기술의 변화와 인터넷 보급의 확대로 인하여 장애인 노동시장에도 변화가 있을 것을 예측하여 2001년 부시 대통령은 신자유구상이라는 발의를 내 놓았다.
"The transmission apparatus according to the present invention includes a resource allocation unit 910, a Fourier transform unit 920, and a filtering unit 930.","본 발명에 따른 전송 장치는 자원 할당부(910), 푸리에 변환부(920) 및 필터링부(930)를 포함한다."
"In this embodiment, the processing device may select the judgment with the highest reliability score.","이러한 실시예에서, 처리장치는 신뢰도 점수가 가장 높은 판단을 선택할 수 있다."
"In addition, the automatic point cloud data matching was found to be matched with higher accuracy as the overlap rate and noise level were lower under the same conditions.","더불어 점군 자료 자동 정합은 같은 조건에서 중첩률이 높을수록, 노이즈 레벨이 낮을수록 더 높은 정확도로 정합되는 것으로 나타났다."
Animation can be divided into direct animation and fairy tale animation depending on the type of movement.,"애니메이션은 움직임의 종류에 따라서 다이렉트 애니메이션, 동화 애니메이션으로 나눌 수 있다."
A method of feeding back an error in motion recognition to a user by the detection device will be described with reference to FIG. 9.,검출 장치가 동작 인식의 오류를 사용자에게 피드백하는 방법은 도 9를 참조하여 설명한다.
The interface unit 160 becomes a path through which the terminal 100 can be connected to an external device.,인터페이스부(160)는 단말기(100)를 외부기기와 연결시킬 수 있는 통로가 된다.
A handover procedure from the eNB 111 to the gNB 121 in communication system A may be performed as follows.,통신 시스템 A에서 eNB(111)에서 gNB(121)로의 핸드오버 절차는 다음과 같이 수행될 수 있다.
"To this end, the sensor unit 140 may be configured to include at least one current measuring sensor or a power measuring sensor.","이를 위하여, 센서부(140)는 적어도 하나의 전류 측정 센서 또는 전력 측정 센서를 포함하여 구성될 수 있다."
The sensing unit SU according to an example may include a plurality of sensing circuits AFE.,일 예에 따른 센싱 유닛(SU)은 복수의 센싱 회로(AFE)를 포함할 수 있다.
The nonvolatile memory device 110 may be configured to back up the first data to the force latch FL.,불휘발성 메모리 장치(110)는 제1 데이터를 포스 래치(FL)에 백업하도록 구성될 수 있다.
Broadcasting should contribute to the dissemination of standard language and should strive to purify the language.,방송은 표준말의 보급에 이바지하여야 하며 언어 순화에 힘써야 한다.
"In a typical computer system, electronic mail is received and stored in an inbox.","전형적인 컴퓨터 시스템에서, 전자 메일은 받은편지함에 수신되어 저장된다."
The processor 220 may control the overall operation of the medical image processing apparatus 100a and may process data.,"처리부(220)는 의료 영상 처리 장치(100a)의 전반적인 동작을 제어하고, 데이터를 처리할 수 있다."
"The research results of physics are used in sensor technology, radar technology, and transmission technology using light.","센서 기술과 레이더 기술, 빛을 이용한 전송기술 등에 모두 물리학의 연구 결과들이 활용된다."
The power management unit 1400 controls power supplied to each component of the computer system 1000.,전원 관리부(1400)는 컴퓨터 시스템(1000)의 각 구성 요소에 공급되는 전원을 제어한다.
"In one embodiment, the query prefix includes a query prefix string in the context as described above in FIG. 32B.","일 실시예에서, 질의 프리픽스는 도 32b에서 전술된 바와 같이 컨텍스트 내에 질의 프리픽스 문자열을 포함한다."
This approach can overcome any practical limitations or requirements of existing methods.,이러한 접근법은 기존 방법의 모든 실질적인 한계 또는 요구 사항을 극복할 수 있다.
The insertion member 500 may include a metal such as copper or aluminum.,삽입 부재(500)는 구리 또는 알루미늄 등의 금속을 포함할 수 있다.
22 is a flowchart illustrating a procedure for deactivating a restricted discovery service using a user plane.,도 22는 사용자 평면을 이용한 제한된 디스커버리 서비스의 비활성화 절차를 도시한 흐름도이다.
The message may further include a multicast group ID and a multicast group zone ID to be changed.,메시지는 변경할 멀티캐스트 그룹 ID와 멀티캐스트 그룹 존 ID를 더 포함할 수 있다.
64 shows a patch storing a primary antibody and a secondary antibody as an embodiment of the patch according to the present application.,도 64는 본 출원에 따른 패치의 일 실시예로서 1차 항체 및 2차 항체를 저장하는 패치를 도시한 것이다.
The frame 300 may include a first foot 350 and a second foot 360.,프레임(300)은 제1 발(350)과 제2 발(360)을 포함할 수 있다.
The magnet 134 is spaced apart from the surface of the guide rail 120 and does not contact the guide rail 120.,"마그넷(134)은 가이드 레일(120)의 표면에서 이격 배치되어, 가이드 레일(120)과 접촉하지 않는다."
